Supplier ID,Supplier Name,State,Latitude,Longitude,Weather Data,Weather List,Weather Risk
supplier_1,AGC Automotive Americas Co.,Illinois,40.0796606,-89.4337288,Sunny,['Sunny'],0
supplier_2,VALEO ENGINE COOLING INC. ATTN. FRANCINE MACADAM,Michigan,43.6211955,-84.6824346,Mostly Sunny,"['Mostly', 'Sunny']",0
supplier_4,DUS Operating Inc.,Alabama,33.2588817,-86.8295337,Sunny,['Sunny'],0
supplier_5,"GEDIA Georgia, LLC",Georgia,32.3293809,-83.1137366,Sunny,['Sunny'],0
supplier_6,Eissmann Automotive Detroit Development LLC,Michigan,43.6211955,-84.6824346,Mostly Sunny,"['Mostly', 'Sunny']",0
supplier_7,KIRCHHOFF Automotive Atlanta Inc.,Georgia,32.3293809,-83.1137366,Sunny,['Sunny'],0
supplier_8,"Carcoustics USA South, Inc.",Georgia,32.3293809,-83.1137366,Sunny,['Sunny'],0
supplier_9,VALEO North America Inc.,Tennessee,35.7730076,-86.2820081,Sunny,['Sunny'],0
supplier_10,"Gestamp Chattanooga, LLC",Tennessee,35.7730076,-86.2820081,Sunny,['Sunny'],0
supplier_11,Nemak USA Inc.,Wisconsin,44.4308975,-89.6884637,Mostly Sunny,"['Mostly', 'Sunny']",0
supplier_12,Magna Mirrors of America - SPD Service Parts Division,Michigan,43.6211955,-84.6824346,Mostly Sunny,"['Mostly', 'Sunny']",0
supplier_13,"Autoneum North America, Incorp",Indiana,40.3270127,-86.1746933,Mostly Sunny,"['Mostly', 'Sunny']",0
supplier_14,IAC Cottondale Alabama USA,Alabama,33.2588817,-86.8295337,Sunny,['Sunny'],0
supplier_15,Aludyne North America LLC.,Wisconsin,44.4308975,-89.6884637,Mostly Sunny,"['Mostly', 'Sunny']",0
supplier_16,Fujikura Automotive America LLC,Texas,31.2638905,-98.5456116,Areas Of Fog then Mostly Sunny,"['Areas', 'Of', 'Fog', 'then', 'Mostly', 'Sunny']",0
supplier_17,MDA US LLC,Tennessee,35.7730076,-86.2820081,Sunny,['Sunny'],0
supplier_18,"GEDIA Michigan, Inc.",Michigan,43.6211955,-84.6824346,Mostly Sunny,"['Mostly', 'Sunny']",0
supplier_19,"Antolin St Clair, LLC",Michigan,43.6211955,-84.6824346,Mostly Sunny,"['Mostly', 'Sunny']",0
supplier_20,"Aurea Software, Inc",Texas,31.2638905,-98.5456116,Areas Of Fog then Mostly Sunny,"['Areas', 'Of', 'Fog', 'then', 'Mostly', 'Sunny']",0
supplier_21,"MOBIS US Alabama, LLC",Alabama,33.2588817,-86.8295337,Sunny,['Sunny'],0
supplier_23,Boysen USA Alabama LLC,Alabama,33.2588817,-86.8295337,Sunny,['Sunny'],0
supplier_24,"ZF Transmissions Gray Court, LLC",South Carolina,33.6874388,-80.4363743,Sunny,['Sunny'],0
